Business Name	Phone
ORTELL CIVILS AND BUILDING (PTY) LTD	734794209
TS MPANGELA ENGINEERING PTY LTD	735283010
Masih Motor Engineering	735474455
Siyamkela electrical	736433435
Guru Motors	736932329
Kwasizwe cylinder head centre	736944120
Bound To Rise Holdings	737262018
Zithulele Electrical	737373254
Magnavolt Maintenance and Electrical Contractors	737897173
New Atlantic Engineering	738073846
Wattz-PC-Cafe	738572772
NASE CONSTRUCTION	738597985
Gumede Electrical Engineering and other Projects	738952671
Safi Electronic and phone engineers shop	739590349
Mphele Engineers	744030000
Siwisa Engineering (Pty) Ltd	744177719
New Age Welding Solutions	744234334
BA Engineering and Manufacturing	744337070
Mag Machining and Engineering Pty Ltd	747102214
Ns electrical services and installation	748285599
Mega Tech Engineering	760274395
Bonectronics (Pty) Ltd	760362090
Vlakvark Ingenieurswerke	760964266
Uyapo Engineering Projects cc	761103395
Record Engineering Middelburg	761460499
Craden Auto Engineering spares	763212321
Blessed Engineering Solutions	763554333
Indlovu Engineering	764109045
BLVCK CORP (PTY) Ltd	765293797
Anderson Motors Maclear	767476567
"K_5baKOAOcnI5OUPhZKTwQs""-,null,null,1,null,""https://www.google.com/maps/preview/place/LemoLetha+Engineering/@-26.01672,28.1273794,3586a,13.1y/datau003d!4m2!3m1!1s0x2bb35634ef44752b:0xc7c9d000f390ca37"	768016391
"KwZcaL6HKIC_5OUP9pmwmAQ""-,null,null,1,null,""https://www.google.com/maps/preview/place/LemoLetha+Engineering/@-26.01672,28.1273794,3586a,13.1y/datau003d!4m2!3m1!1s0x2bb35634ef44752b:0xc7c9d000f390ca37"	768016391
"rgZcaK6wFuXY5OUPm52FoAw""-,null,null,1,null,""https://www.google.com/maps/preview/place/LemoLetha+Engineering/@-26.01672,28.1273794,3586a,13.1y/datau003d!4m2!3m1!1s0x2bb35634ef44752b:0xc7c9d000f390ca37"	768016391
Miller's Wood cabins	768979116
Del Electrical Services Pty-Ltd	774373228
Mechatronic South Africa	780000080
African ava	780368219
Albert's engineering world	780524097
MOSBY ELECTRICAL AND CIVIL ENGINEERING	780877528
Kiva Electrical and Projects	781639734
UIB Engineering	781761689
Manikiniki Business Solutions	782335610
Sutol Engineering	783263664
Oliver Multi-Tech	784701034
sosk civil and building construction	784866508
Ngwekazi Industries and Services	785726393
Trascon Endurance Engineer Ltd (Pty)	785766228
Sino Electrical Contractors (Pty) Ltd	785852560
PRR ENGINEERING	786180771
Subz engineering	786513777
skils engineering and techno enterprise	787408197
Liyakhanya Enterprise Pty Ltd	787455454
Mkhuma Engineering Pty Ltd	787707394
Thami Mechanics	787756278
Yebo	788715989
Zozii enterprise	790783467
Sahlu Steel Works And Engineering	790972408
Emthonjeni Electrical Engineering	791076129
Nkosi Civils and Project Managers (Pty) Ltd	791548891
MMN ENGINEERING AND PROJECTS	792446613
Phumlani electrics focus	793107000
Merwannes	793228972
Engineeric Solutions	793595892
Illizwe Engineering	794062757
Smayi Electrical Engineering Services.	794980400
VH Precision Engineering	794983367
Fixation Engineering	795076535
HMI LINEBORING  ENGINEERING	795220125
Sunset Guesthouse - Mthatha	795707518
Everything Steel  Engineering	796378005
FME Engineering and Design	796829188
3423 block 4 soweto, johannesburg 2000	797428897
LMG Engineering	798188072
B	798500648
HANS'Electro-Mechanical Engineering	799060247
Critical Motor Repairs Pty Ltd	799791252
M.N NGCEKE - ELUNDINI GROUP Pty Ltd	799986988
MA engineering	810405721
Basal Engineering	810423333
Metalman Engineering, Port Elizabeth, South Africa	812197477
Unity Electrical Engineering	812723142
Proliink Connect	813396764
Maninga Engineering	814790502
leRoux Engineering	815059160
John's penel beater	817067630
Iron Grid Projects	818017593
Motsie Engineered Technologies	820937453
Sheeprun Farmstay	822118442
KONDI CIVIL AND ELECTRICAL CONTRACTORS	822233129
APC Engineering (PTY) LTD	823010970
S K Engineering	823082705
Bezier Dynamic	823214215
Chowles J Electrical	823272456
Town Engineering	823325624
BES Engineering Services	823954929
OBD Automobiles  Training	824206252
Sebenza Scaffolding Steelport	824489226
ECP - Engineering Consultant Projects	824504018
Quintus Engineering	824521014
"6QlcaJmqGK6-5OUPgceg0A0""-,null,null,1,null,""https://www.google.com/maps/preview/place/structural+engineer/@-32.1077195,26.46523,3380a,13.1y/datau003d!4m2!3m1!1s0x895345764fc56001:0xbbf1c9565cf3d28a"	824735572
Eagle Engineering Projects PTY (Ltd)	824953135
GG Motors	824982882
Custom Works Composite Engineering	825078887
Jbay Mechanical Repair  Service Centre (Pty) Ltd	825175993
Electricians Cape Town	825268793
Centre Engineering	825640097
Bendet Engineering Services	825646501
Riverside Construction  Maintenance	825660199
H.B.M. ENGINEERING(PTY) LTD	825694251
Lande Lonke	825784968
Trafficon	826007428
Magesh Towing	826357942
Amley Computer  Electrical Services CC	826598591
NTANJANA SOIL DESIGN LABORATORY	828163350
Sanmar Engineering	828536669
SLAMTECH	828892095
Etienne du Randt Property Consultancy CC	828933938
Audio Engineering	828956033
Art Engineering	829029533
DAK DESIGNS	829031751
Mountain Charcoal Guest House	829035176
MSB ENGINEERING	829238380
Dingaan workshop	832125022
JJ Engineering  Fabrication Centre	832406099
Imvomvo Country Lodge and Conference Center	832736981
MIHNEL Engineers And Civils	832870414
NDK Civil and Structural Engineers	832874760
Enrom Engineering	832924099
Ditholwana Engineering	832970088
LTM Engineering and Construction	833037454
Macsteve training centre	833520271
MD Civils	833582332
Procure Hydraulics Pty Ltd	833791338
ZeeZee Khula Trading (Pty) Ltd	833864557
BENEM HOLDINGS	834157578
ABR Engineering	834460675
Wydeman Electrical	834497209
Peter Wium Consulting Engineers	834542143
Sese Precision Engineering And General Trading (PTY) LTD	834609756
Binedell Design Solutions	834634246
Slian SA	834899620
Rope Access Abseiling Specialists Pty Ltd	835195934
MG Consulting Engineers	835404174
Complete Engineering Services (PTY) Ltd	836073728
Luvanize Engineering	836279813
CG Ton Lifting Consultants	836505903
Ocean Engineering	836543123
G-FORCE ENGINEERING	836594565
Vstruct Consulting Engineers	836754201
Meco Engineering	836853441
Nqabeni Group	836935639
K V 3 Engineers	837430136
VOLTENO ELECTRICAL	837932376
MVS ENGINEERS	838657635
LIKE HOME ELECTRICAL ENGINEERING AND GENERAL TRADING	838677463
Kasi Automotive Engineering	839518906
JDE Civil  Structural Engineers	842085010
GcinaSonke	843570117
BAMBATA ENGINEERING	845465472
GN Coatings  Engineering	845987006
NASH ELECTRICAL ENGINEERING	846949434
RT AUTOMOTIVE ENGINEERING	847939742
Anathoth Electrical Services	848033468
Madibabay Engineering Solutions	849874444
Engineering Council of South Africa	861225555
Certus Engineering Pty Ltd	861237887
GL Project Management  Engineering Services	861488886
South West Gauteng College - Roodeport	861768849
Hydratech (Pty) Ltd	869990721
Saneliso Engineering	870935957
K5 Heavy Engineering	871472263
MP WEST ENGINEERING COMPANY ( PTY ) LTD	871474055
Lefata Engineering (Pty) LTD	872654060
Czar Construction	877022721
Malitech Engineering	878013329
METC Engineering	878088862
Q-Tech Industrial Solutions	878222771
