Category,Real Category,Business Name,Address,City,State,Postal Code,Country,Phone,Email,Website,Latitude,Longitude,Map Link,Details Link
"business","Business management consultant","Innovation Boutique","Hobart Road, Bryanston, Johannesburg, 2191","Johannesburg","Gauteng","","South Africa"," 0105911251","","","","","https://maps.google.com/?hl=en_US&cid=0x0:0xf27ec95161913c6c",""
"business","business","N/A","","","Gauteng","","South Africa"," 0731505169","hello@beinghuman.cx","https://www.beinghuman.cx/","","","https://maps.google.com/?hl=en_US&cid=0x0:0x7db853d570c43707",""
"business","Corporate office","Stonewedge Office Park","1 Wedgelink Rd, Bryanston, Johannesburg, 2031","Johannesburg","Gauteng","","South Africa"," 0116763000","","http://www.tourvest.co.za/","","","https://maps.google.com/?hl=en_US&cid=0x0:0x8dbd56a700c10e8d",""
"business","Beverage distributor","Designer Water Bryanston","20 Georgian Cres E, Bryanston, Johannesburg, 2191","Johannesburg","Gauteng","","South Africa"," 0726456222","","","","","https://maps.google.com/?hl=en_US&cid=0x0:0xbc4fea0e42ad80bc",""
"business","Office space rental agency","The Campus","Main Rd, Bryanston, Midrand, 2191","Midrand","Gauteng","","South Africa"," 0115758822","","https://thecampus.co.za/","","","https://maps.google.com/?hl=en_US&cid=0x0:0x76f3b71aa3d74d7d",""
"business","Business management consultant","Business Intelligent","20 Georgian Cres E, Bryanston, 2191","Bryanston","Gauteng","","South Africa"," 0842444129","","http://www.businessintelligent.co.za/","","","https://maps.google.com/?hl=en_US&cid=0x0:0xee952d34b0c411c1",""
"business","Marketing agency","Promise Brand Specialists / Promise Digital","10 Hobart Rd, Bryanston, Sandton, 2191","Sandton","Gauteng","","South Africa"," 0114632413","","http://www.promisegroup.co.za/","","","https://maps.google.com/?hl=en_US&cid=0x0:0xdf2faa8878a39025",""
"business","Advertising agency","Main Straight Office Park, Bryanston","2940 Winnie Mandela Dr, Bryanston, Sandton, 2191","Sandton","Gauteng","","South Africa","","","","","","https://maps.google.com/?hl=en_US&cid=0x0:0x4864cc82ccd4b4",""
"business","business","N/A","","","Gauteng","","South Africa"," 0814596678","","","","","https://maps.google.com/?hl=en_US&cid=0x0:0xbec10fcee8347913",""
"business","Office space rental agency","The Station Office Bryanston","63 Peter Place, Bryanston, Sandton, 2021","Sandton","Gauteng","","South Africa"," 0114635455","info@thestationoffice.co.za","http://www.thestationoffice.co.za/","","","https://maps.google.com/?hl=en_US&cid=0x0:0x8d8c49febdc10abd",""
