Category,Real Category,Business Name,Address,City,State,Postal Code,Country,Phone,Email,Website,Latitude,Longitude,Map Link,Details Link
"business","Bus stop","Booysens","32 Nelson Rd, Booysens, Johannesburg, 2091","Johannesburg","Gauteng","","South Africa"," 0110537881","","","","","https://maps.google.com/?hl=en_US&cid=0x0:0x13ead5af5221c385",""
"business","Law firm","Tabacks","337 Brooklyn Rd, Brooklyn, Pretoria, 0181","Pretoria","Gauteng","","South Africa"," 0120042099","info@tabackslegal.com","http://www.tabacks.com/","","","https://maps.google.com/?hl=en_US&cid=0x0:0x3b566e344e7962d9",""
"business","Accountant","Regent Business Solutions","78 Booysens Road, Cnr Booysens, Heronmere Roads, Booysens, Johannesburg, 2001","Johannesburg","Gauteng","","South Africa"," 0107465895","","","","","https://maps.google.com/?hl=en_US&cid=0x0:0xd77a3e9bb4dfca72",""
"business","Construction company","mertisenterprises","52 Nelson Rd, Booysens, Johannesburg, 2019","Johannesburg","Gauteng","","South Africa"," 0712045737","","","","","https://maps.google.com/?hl=en_US&cid=0x0:0xb92bf2ffe15924db",""
"business","Warehouse","Gold Reef Business Park","119 Booysens Reserve Rd, Theta, Johannesburg South, 2091","Johannesburg South","Gauteng","","South Africa","","","","","","https://maps.google.com/?hl=en_US&cid=0x0:0x7fce21d5775c87ab",""
"business","Business management consultant","Claricent Consulting Services Pty Ltd","337 Visagie St, Pretoria Central, Pretoria, 0001","Pretoria","Gauteng","","South Africa"," 0871520938","info@claricent-consulting.co.za","http://www.claricent-consulting.co.za/","","","https://maps.google.com/?hl=en_US&cid=0x0:0xe4d00c7e0d82a55",""
"business","Engineering consultant","Tsholefelatradiingenterprice and Project","32 Booysens Reserved 5th St Booysens, Booysens Reserve, Johannesburg, 1390","Johannesburg","Gauteng","","South Africa"," 0786492965","","","","","https://maps.google.com/?hl=en_US&cid=0x0:0x5ce7841ebdeb3de9",""
"business","Store","Takealot Pickup Point Booysens Reserve","Shop 7, 5th St, Theta, Johannesburg South, 2091","Johannesburg South","Gauteng","","South Africa"," 0873627500","","https://www.takealot.com/","","","https://maps.google.com/?hl=en_US&cid=0x0:0x575ed05d3a2b78f6",""
"business","Accounting firm","Btax / Tax and Financial Reporting Specialist","1248 Paff St, Booysens, Pretoria, 0082","Pretoria","Gauteng","","South Africa"," 0812083465","","","","","https://maps.google.com/?hl=en_US&cid=0x0:0xb57d4b43b3dfad11",""
"business","Corporate office","CTE Holding Group","605, Constantia Building, 291 Thabo Sehume St, Pretoria Central, Pretoria, 0001","Pretoria","Gauteng","","South Africa"," 0834821037","","","","","https://maps.google.com/?hl=en_US&cid=0x0:0xd1b99dde08da5e03",""
"business","Business management consultant","Tech Revolve","Stocks City, 180, 405 Mears St, Sunnyside, Pretoria, 0002","Pretoria","Gauteng","","South Africa"," 0120041138","","","","","https://maps.google.com/?hl=en_US&cid=0x0:0x432645181ba054cd",""
"business","Corporate office","Amethyst Business Park","QX8W+CW, Langlaagte 224-Iq, Johannesburg South, 2091","Johannesburg South","Gauteng","","South Africa"," 0731004988","","","","","https://maps.google.com/?hl=en_US&cid=0x0:0xa4fdb024bffa5",""
"business","Consultant","Global Empowerment Services","Adverto Towers, 80 Celliers St, Sunnyside, Pretoria, 0001","Pretoria","Gauteng","","South Africa"," 0714865456","","","","","https://maps.google.com/?hl=en_US&cid=0x0:0xeab3aaae2dbfefaa",""
"business","Institute of technology","Nemaheni Technologies","02 Tessahof Flat, 321 Jorissen St, Sunnyside, Pretoria, 0002","Pretoria","Gauteng","","South Africa"," 0814856683","info@nemaheni.co.za","https://www.nemaheni.co.za/","","","https://maps.google.com/?hl=en_US&cid=0x0:0x1ed391467fa1eeb3",""
"business","Business management consultant","L-H Business Consulting","213 Troye St, Muckleneuk, Pretoria, 0002","Pretoria","Gauteng","","South Africa"," 0127544556","","http://lhbusiness.co.za/","","","https://maps.google.com/?hl=en_US&cid=0x0:0x49a135eea5a3f641",""
"business","Business management consultant","Kharitanganyise General Services (KGS) (Pty) Ltd","72 Skietpoort Ave, Salvokop, Pretoria, 0002","Pretoria","Gauteng","","South Africa"," 0825724618","","","","","https://maps.google.com/?hl=en_US&cid=0x0:0xff34d7fb8e699ed4",""
