Business Name	Phone
LJ Projects and Services	603893295
Fix Engineering	608430106
Ekhaya Engineering (PTY) LTD	633373086
649 Top street	635259723
CLIFF INDUSTRIAL ENGINEERING SOLUTIONS	639782420
Infinite Engineering and Tech	653564810
PDB ENGINEERING (PTY) LTD	664600581
Twiggons Automotive Engineering	670101690
MSE Contractors	673027229
Elvcoh Engineering	676891331
D-Tech Engineering	710040200
Kenya Building	710684201
IMIS Engineering	713559323
*Jay  Tee industrial and heavy duty solutions*	715375936
Ethanol Engineering	720691230
Quantra Consulting Jeffreys Bay	726050059
Miller Engineered Solutions	726722808
Rory Talmage Contractors	728998891
LIDZ AUTO TUNE MOTORS AND CAR SERVICE CENTRE	732225520
Post Tensioning  Structural Solutions (Pty) Ltd	732749911
General engineering and repairs	738059108
Hopefield Building and Engeneering	738070165
FLEMMER CONSTRUCTION	738776507
DP Precision Services	742812460
AUM Precision Engineering	743099979
RJ Metal Works Engineering Pvt Ltd	760404430
HAMBURG ELECTRICAL.PTY.LTD	761284526
Arch@Ease Architecture	763777047
Indlovu Engineering	764109045
H.E. Jackson Engineering South Africa	764211317
HvA Motors	766585412
Tshepang and tshepo construction	781726391
Liddiard Ralph Electrical Contractors	786665207
Bryssmart Engineering Solutions (BENGS)	786986996
"SqdbaLa8Kq2m5OUP3pbV4QU""-,null,null,1,null,""https://www.google.com/maps/preview/place/JP+Electrical/@-33.1425728,26.4984675,3341a,13.1y/datau003d!4m2!3m1!1s0x2aeec1c93c4a0b:0x4d1203c050b01cf"	789162117
"0adbaJ33Mt-y5OUPyfiJ8AQ""-,null,null,1,null,""https://www.google.com/maps/preview/place/JP+Electrical/@-33.1425728,26.4984675,3341a,13.1y/datau003d!4m2!3m1!1s0x2aeec1c93c4a0b:0x4d1203c050b01cf"	789162117
"XahbaLaGKfzD5OUPrZG_sAo""-,null,null,1,null,""https://www.google.com/maps/preview/place/JP+Electrical/@-33.1425728,26.4984675,3341a,13.1y/datau003d!4m2!3m1!1s0x2aeec1c93c4a0b:0x4d1203c050b01cf"	789162117
"TalbaPzzM_TB5OUPx4DJWQ""-,null,null,1,null,""https://www.google.com/maps/preview/place/JP+Electrical/@-33.1425728,26.4984675,3341a,13.1y/datau003d!4m2!3m1!1s0x2aeec1c93c4a0b:0x4d1203c050b01cf"	789162117
"4KlbaNztNcXM1sQProng0Ac""-,null,null,1,null,""https://www.google.com/maps/preview/place/JP+Electrical/@-33.1425728,26.4984675,3341a,13.1y/datau003d!4m2!3m1!1s0x2aeec1c93c4a0b:0x4d1203c050b01cf"	789162117
"-apbaNufEvbY1sQP_MzV4QU""-,null,null,1,null,""https://www.google.com/maps/preview/place/JP+Electrical/@-33.1425728,26.4984675,3341a,13.1y/datau003d!4m2!3m1!1s0x2aeec1c93c4a0b:0x4d1203c050b01cf"	789162117
"wqtbaI-nI9vL1sQP9K2M-Qo""-,null,null,1,null,""https://www.google.com/maps/preview/place/JP+Electrical/@-33.1425728,26.4984675,3341a,13.1y/datau003d!4m2!3m1!1s0x2aeec1c93c4a0b:0x4d1203c050b01cf"	789162117
"Ha1baJrjN-PW5OUPqpufsA4""-,null,null,1,null,""https://www.google.com/maps/preview/place/JP+Electrical/@-33.1425728,26.4984675,3341a,13.1y/datau003d!4m2!3m1!1s0x2aeec1c93c4a0b:0x4d1203c050b01cf"	789162117
"mK1baOuDOp-_5OUPp4vQ4QQ""-,null,null,1,null,""https://www.google.com/maps/preview/place/JP+Electrical/@-33.1425728,26.4984675,3341a,13.1y/datau003d!4m2!3m1!1s0x2aeec1c93c4a0b:0x4d1203c050b01cf"	789162117
"1a9baK6jMtnW1sQP9rXY-QU""-,null,null,1,null,""https://www.google.com/maps/preview/place/JP+Electrical/@-33.1425728,26.4984675,3341a,13.1y/datau003d!4m2!3m1!1s0x2aeec1c93c4a0b:0x4d1203c050b01cf"	789162117
"v7BbaKSsIpq55OUP0N_NOQ""-,null,null,1,null,""https://www.google.com/maps/preview/place/JP+Electrical/@-33.1425728,26.4984675,3341a,13.1y/datau003d!4m2!3m1!1s0x2aeec1c93c4a0b:0x4d1203c050b01cf"	789162117
AKemp Construction	794963939
enuvo structures	796392581
Sneeuberg Steelworks	798223454
Aludar 542 cc	798364897
VPE Engineering	812898643
renca engineers	813717480
Innosa Projects Pty Ltd	814453066
tawahtroygroup pvt ltd	814781847
Destiway - Electrical	817549758
VALLEY ENGINEERING	822227834
N/A	824130734
EJ Stainless  Mild Steel Solution	824499113
AWIE VAN DEN BERG	824552641
Eagle Engineering Projects PTY (Ltd)	824953135
Hanswill Engineering (Pty) Ltd	825794102
Sebego Maloka  Viljoen Civil Engineers (Pty) Ltd	826572886
Repetition and General Engineering	827178474
Flash Electric	827550359
NTANJANA SOIL DESIGN LABORATORY	828163350
JMB Engineering (Pty) Ltd	828812694
Secure It Security Solutions	829076773
Grahamstown Automotive Engineering	829227896
H C PIETERSEN CONSULTING CIVIL  STRUCTURAL ENGINEERS	832276554
Efficient Projects and Mining Supplies	832677120
Ditholwana Engineering	832970088
Easton Plant and Civils	833061674
DA Technical Engineering	833082891
Eastern Cape steel structures and Civils	833405940
Terrestrial Technologies	833952251
Shauns Maintenance	834681645
ARGON FERROTEC	835005726
Enduser Instruments	836096606
Geomechanics, Eastern Cape	836160399
DC Electrical	836502229
G-FORCE ENGINEERING	836594565
Meco Engineering	836853441
GcinaSonke	843570117
Ulectric	844999937
EASY BUILD Graaff-Reinet	845261296
BAMBATA ENGINEERING	845465472
Multi Tool Hire	848558884
Engineering Council of South Africa	861225555
Fountain Civil Engineering (Pty) Ltd (FCE)	870951660
Lefata Engineering (Pty) LTD	872654060
ZNM Consulting Engineers	873504035
