Category,Real Category,Business Name,Address,City,State,Postal Code,Country,Phone,Email,Website,Latitude,Longitude,Map Link,Details Link
"business","","Gauteng Business Rescue Practitioners","67 Van Riebeeck Ave, Gauteng, Alberton, 1450","Alberton","Gauteng","","South Africa"," 0104480702","","","","","https://maps.google.com/?hl=en_US&cid=0x0:0x71baf822149c9711",""
"business","Business management consultant","Africa32 (PTY)Ltd","10 Tulbach St, Alberante, Alberton, 1449","Alberton","Gauteng","","South Africa"," 0722786125","","","","","https://maps.google.com/?hl=en_US&cid=0x0:0x3fadad8e0d90dad2",""
"business","Telecommunications service provider","SYMTECH","7 Camborne Rd, New Redruth, Alberton, 1449","Alberton","Gauteng","","South Africa"," 0712277600","","","","","https://maps.google.com/?hl=en_US&cid=0x0:0x64cb04ce56892095",""
"business","Business management consultant","Tiger Consultants - Payroll Bureau","48 Fourth Ave, Alberton, 1449","Alberton","Gauteng","","South Africa"," 0103001273","","","","","https://maps.google.com/?hl=en_US&cid=0x0:0xc6fcb7102bb984c6",""
"business","Construction company","Relebohile Trading  Consulting Pty Ltd","saxon hof, 64 Elands Rd, Florentia, Alberton, 1449","Alberton","Gauteng","","South Africa"," 0817284263","","","","","https://maps.google.com/?hl=en_US&cid=0x0:0x95d50db1c5113b3f",""
"business","Business management consultant","Hustle Brands","36 Newquay Rd, New Redruth, Alberton, 1449","Alberton","Gauteng","","South Africa"," 0662603979","","","","","https://maps.google.com/?hl=en_US&cid=0x0:0x248c6b224c4c5418",""
"business","Business management consultant","Sonkisizwe Business Advisory cc","210 Second Ave, Verwoerdpark, Alberton, 1449","Alberton","Gauteng","","South Africa"," 0110257896","","","","","https://maps.google.com/?hl=en_US&cid=0x0:0xbd4f4a5d00f1b2c8",""
"business","Accounting firm","Fair Value Business Solutions","53A Second Ave, Alberton North, Alberton, 1449","Alberton","Gauteng","","South Africa"," 0789641442","","","","","https://maps.google.com/?hl=en_US&cid=0x0:0x1bf9b95d1618035c",""
"business","Branding agency","COMRESTORE (PTY)LTD","2280 Intakaza Street Commercia Extension 34 Mayibuye, 1685","Alberton","Gauteng","","South Africa"," 0787320892","","","","","https://maps.google.com/?hl=en_US&cid=0x0:0xa9cc7fc6b46b534f",""
"business","Business management consultant","Inyathi Empire Group","3 Jacobus Rd, ALBERTON, Alberton, 1449","Alberton","Gauteng","","South Africa"," 0736911886","","","","","https://maps.google.com/?hl=en_US&cid=0x0:0x51488ca61734c465",""
"business","business","N/A","","","Gauteng","","South Africa"," 0738146396","","","","","https://maps.google.com/?hl=en_US&cid=0x0:0x635cfc884e88261",""
"business","Business management consultant","Draw the Line Business Solutions","21 Marthinus Rd, Florentia, Alberton, 1449","Alberton","Gauteng","","South Africa"," 0823300517","","","","","https://maps.google.com/?hl=en_US&cid=0x0:0x11fb4cbd31581767",""
"business","business","N/A","","","Gauteng","","South Africa"," 0660673373","","","","","https://maps.google.com/?hl=en_US&cid=0x0:0x4355d59f6c2befce",""
"business","Business management consultant","Veam Solutions","33 Newquay Rd, New Redruth, Alberton, 1449","Alberton","Gauteng","","South Africa"," 0872657279","","","","","https://maps.google.com/?hl=en_US&cid=0x0:0x2c06140d83c61a62",""
"business","Consultant","The Labour Resolution Company","Penthouse 35 Bazinga on Penzance, Cnr Penzance , Albany Rd, New Redruth, Alberton, 1449","Alberton","Gauteng","","South Africa"," 0105000774","cases@labourresolution.co.za","http://www.labourresolution.co.za/","","","https://maps.google.com/?hl=en_US&cid=0x0:0x343aa49ea851fbe8",""
"business","Business management consultant","The Vado Enterprise Holding Company","68 Voortrekker Rd, Alrode, Alberton, 1450","Alberton","Gauteng","","South Africa"," 0104479964","","","","","https://maps.google.com/?hl=en_US&cid=0x0:0xa1a723002c186ef8",""
"business","Corporate office","Business Accountants and Advisory","31 Newquay Rd, New Redruth, Alberton, 1449","Alberton","Gauteng","","South Africa"," 0103351724","webmaster@baandadvisory.co.za","http://www.baandadvisory.co.za/","","","https://maps.google.com/?hl=en_US&cid=0x0:0x68004a034d978b10",""
"business","Software company","DJK consulting","21 Chasewater St, New Redruth, Alberton, 1449","Alberton","Gauteng","","South Africa"," 0101094991","","","","","https://maps.google.com/?hl=en_US&cid=0x0:0x1cdaa9f5ae857b23",""
"business","business","1449","Alberton","Alberton","Gauteng","","South Africa","","","","","","https://maps.google.com/?hl=en_US&cid=0x0:0xc5e935f854ace0ba",""
"business","Business management consultant","Symtech","33 Newquay Rd, New Redruth, Alberton, 1448","Alberton","Gauteng","","South Africa"," 0877008837","","","","","https://maps.google.com/?hl=en_US&cid=0x0:0xbe73cfeb4e9fdb00",""
"business","Print shop","Jetline Alberton","Shop 6, Alberton Lifestyle centre, St Austrell St, Alberton, Johannesburg, 1449","Johannesburg","Gauteng","","South Africa"," 0118697232","7232Emailalberton@jetline.co.zaAd","https://www.jetline.co.za/store/jetline-alberton/","","","https://maps.google.com/?hl=en_US&cid=0x0:0x971c1a4766ce44db",""
"business","Website designer","Webshure Digital Marketing - SEO Service and Marketing Agency","65 Nelson Mandela Ave, Randhart, Alberton, 1449","Alberton","Gauteng","","South Africa"," 0600702276","info@webshure.co.za","https://www.webshure.com/webshure-alberton","","","https://maps.google.com/?hl=en_US&cid=0x0:0xeedd176db829c440",""
"business","Occupational safety and health","MAKROSAFE Holdings (PTY) Ltd.","1st Floor, Second Avenue Center cnr. 2nd Avenue and, Jim Fouche Rd, Verwoerdpark, Alberton, 1449","Alberton","Gauteng","","South Africa"," 0861444777","","http://www.makrosafe.co.za/","","","https://maps.google.com/?hl=en_US&cid=0x0:0x3c2c44a95b0914cc",""
"business","Accountant","Business Seminar","2 Fore St, New Redruth, Alberton, 1449","Alberton","Gauteng","","South Africa"," 0838706467","","","","","https://maps.google.com/?hl=en_US&cid=0x0:0x44f6a63ddbf18f21",""
"business","business","N/A","","","Gauteng","","South Africa"," 0828837565","grow@addventurebusinesscoaching.co.za","http://www.addventurebusinesscoaching.co.za/","","","https://maps.google.com/?hl=en_US&cid=0x0:0x6f3df222d9cbb8d7",""
"business","Training centre","MSC Business College - Alberton","79 5th Ave, Alberton, Johannesburg, 1449","Johannesburg","Gauteng","","South Africa"," 0118690183","email@yourcompany.com","http://www.msccollege.co.za/","","","https://maps.google.com/?hl=en_US&cid=0x0:0xf232703e665f2d89",""
"business","Business management consultant","Commercial Merchants","29 Telawarren St, New Redruth, Alberton, 1449","Alberton","Gauteng","","South Africa"," 0118698662","","https://www.commercialsoftware.co.za/","","","https://maps.google.com/?hl=en_US&cid=0x0:0xa4e90dd772d2f836",""
"business","Business management consultant","BizzAcc Alberton (Pty) Ltd","48 Fourth Ave, Alberton North, Johannesburg, 1449","Johannesburg","Gauteng","","South Africa"," 0103001282","","","","","https://maps.google.com/?hl=en_US&cid=0x0:0x49df0a6246323d15",""
"business","Computer store","Matrix Warehouse Alberton (Head Office)","Shop 14, Cnr Swartkoppies  lemon Tree shopping centre, Heidelberg Rd, Newmarket, Alberton, 1450","Alberton","Gauteng","","South Africa"," 0118692613","","https://matrixwarehouse.co.za/alberton-in-store-promotions-2/?utm_source>>u003dgmb_alberton>>u0026utm_medium>>u003dgmb_alberton>>u0026utm_campaign>>u003dgmb_alberton>>u0026utm_term>>u003dgmb_alberton","","","https://maps.google.com/?hl=en_US&cid=0x0:0xd061e4e01dfa4436",""
"business","Telecommunications service provider","SYMTECH","7 Camborne Rd, New Redruth, Alberton, 1449","Alberton","Gauteng","","South Africa"," 0712277600","","","","","https://maps.google.com/?hl=en_US&cid=0x0:0x64cb04ce56892095",""
"business","Business management consultant","Africa32 (PTY)Ltd","10 Tulbach St, Alberante, Alberton, 1449","Alberton","Gauteng","","South Africa"," 0722786125","","","","","https://maps.google.com/?hl=en_US&cid=0x0:0x3fadad8e0d90dad2",""
"business","","Gauteng Business Rescue Practitioners","67 Van Riebeeck Ave, Gauteng, Alberton, 1450","Alberton","Gauteng","","South Africa"," 0104480702","","","","","https://maps.google.com/?hl=en_US&cid=0x0:0x71baf822149c9711",""
"business","business","N/A","","","Gauteng","","South Africa"," 0738146396","","","","","https://maps.google.com/?hl=en_US&cid=0x0:0x635cfc884e88261",""
"business","Business management consultant","The Vado Enterprise Holding Company","68 Voortrekker Rd, Alrode, Alberton, 1450","Alberton","Gauteng","","South Africa"," 0104479964","","","","","https://maps.google.com/?hl=en_US&cid=0x0:0xa1a723002c186ef8",""
"business","Accounting firm","Zelda Zaayman Consulting (Pty) Ltd","Second Floor, Alberante Centre, 37 Penzance St, New Redruth, Alberton, 1453","Alberton","Gauteng","","South Africa"," 0871600277","","","","","https://maps.google.com/?hl=en_US&cid=0x0:0x65952d5ac6064961",""
"business","Branding agency","COMRESTORE (PTY)LTD","2280 Intakaza Street Commercia Extension 34 Mayibuye, 1685","Alberton","Gauteng","","South Africa"," 0787320892","","","","","https://maps.google.com/?hl=en_US&cid=0x0:0xa9cc7fc6b46b534f",""
"business","Accountant","AVC Corporate Advisory Services","Second Floor East Wing, Malanshof, 62 Charl Cilliers Ave, Alberton","Alberton","Gauteng","","South Africa"," 0823022260","","","","","https://maps.google.com/?hl=en_US&cid=0x0:0xe107cc789bb52b93",""
"business","Business management consultant","Bligvest","13 Lenin St, Raceview, Alberton, 1449","Alberton","Gauteng","","South Africa"," 0117245649","info@bligvest.co.za","http://bligvest.co.za/","","","https://maps.google.com/?hl=en_US&cid=0x0:0xed34365d6c7e97b9",""
"business","business","N/A","","","Gauteng","","South Africa"," 0660673373","","","","","https://maps.google.com/?hl=en_US&cid=0x0:0x4355d59f6c2befce",""
"business","Business management consultant","Hustle Brands","36 Newquay Rd, New Redruth, Alberton, 1449","Alberton","Gauteng","","South Africa"," 0662603979","","","","","https://maps.google.com/?hl=en_US&cid=0x0:0x248c6b224c4c5418",""
"business","Business management consultant","Draw the Line Business Solutions","21 Marthinus Rd, Florentia, Alberton, 1449","Alberton","Gauteng","","South Africa"," 0823300517","","","","","https://maps.google.com/?hl=en_US&cid=0x0:0x11fb4cbd31581767",""
"business","Business management consultant","Commercial Merchants","29 Telawarren St, New Redruth, Alberton, 1449","Alberton","Gauteng","","South Africa"," 0118698662","","https://www.commercialsoftware.co.za/","","","https://maps.google.com/?hl=en_US&cid=0x0:0xa4e90dd772d2f836",""
"business","business","N/A","","","Gauteng","","South Africa"," 0794992206","","","","","https://maps.google.com/?hl=en_US&cid=0x0:0xf2ada03a0c18aa68",""
"business","Software company","DJK consulting","21 Chasewater St, New Redruth, Alberton, 1449","Alberton","Gauteng","","South Africa"," 0101094991","","","","","https://maps.google.com/?hl=en_US&cid=0x0:0x1cdaa9f5ae857b23",""
"business","business","N/A","","","Gauteng","","South Africa"," 0823361551","","","","","https://maps.google.com/?hl=en_US&cid=0x0:0xe955657fd716d2c4",""
"business","Accounting firm","MEERFAX","105 Second Ave, Florentia, Alberton, 1450","Alberton","Gauteng","","South Africa"," 0871523402","","","","","https://maps.google.com/?hl=en_US&cid=0x0:0x3aaacee7f813889",""
"business","Training centre","BTC Training (Africa) Pty Limited","3 Promenade Center at, 40 Voortrekker Rd, New Redruth, Alberton, 1449","Alberton","Gauteng","","South Africa"," 0118691946","","http://btcafrica.co.za/","","","https://maps.google.com/?hl=en_US&cid=0x0:0x4d86d5cc97e91bbf",""
"business","business","Gauteng","","","Gauteng","","South Africa","","","","","","https://maps.google.com/?hl=en_US&cid=0x0:0x6d9ee7c7cb5438e2",""
"business","Debt collection agency","Kredcor Khuluma","68 Van Riebeeck Ave, Alberton, 1450","Alberton","Gauteng","","South Africa"," 0119074406","marketing@kredcor.co.za","https://kredcor.co.za/","","","https://maps.google.com/?hl=en_US&cid=0x0:0x224e4d853d937d97",""
"business","Transportation service","Transmed Cargo Services (Pty) Ltd","1 Van Till St, Alrode, Alberton, 1450","Alberton","Gauteng","","South Africa"," 0105920931","info@transmedship.co.za","http://www.transmedship.co.za/","","","https://maps.google.com/?hl=en_US&cid=0x0:0xdfd131bd330f1e6d",""
"business","Warehouse","Steelbank Gauteng","8 Juyn St, Alrode, Johannesburg, 1450","Johannesburg","Gauteng","","South Africa"," 0112015900","info@steelbank.co.za","https://www.steelbank.co.za/","","","https://maps.google.com/?hl=en_US&cid=0x0:0x85b3faefb05d0f88",""
"business","Computer store","Matrix Warehouse Alberton (Head Office)","Shop 14, Cnr Swartkoppies  lemon Tree shopping centre, Heidelberg Rd, Newmarket, Alberton, 1450","Alberton","Gauteng","","South Africa"," 0118692613","","https://matrixwarehouse.co.za/alberton-in-store-promotions-2/?utm_source>>u003dgmb_alberton>>u0026utm_medium>>u003dgmb_alberton>>u0026utm_campaign>>u003dgmb_alberton>>u0026utm_term>>u003dgmb_alberton","","","https://maps.google.com/?hl=en_US&cid=0x0:0xd061e4e01dfa4436",""
"business","business","N/A","","","Gauteng","","South Africa","","","","","","https://maps.google.com/?hl=en_US&cid=0x0:0x45b2e49ec327264a",""
"business","business","N/A","","","Gauteng","","South Africa","","","","","","https://maps.google.com/?hl=en_US&cid=0x0:0x9023e0c83d885c2b",""
