Category,Real Category,Business Name,Address,City,State,Postal Code,Country,Phone,Email,Website,Latitude,Longitude,Map Link,Details Link
"business","Business center","B R G Engineering  Supplies C C","46 Boundary St, Brakpan, 1540","Brakpan","Gauteng","","South Africa"," 0117402112","","","","","https://maps.google.com/?hl=en_US&cid=0x0:0x9da76da92c7713da",""
"business","Website designer","Manage My Website","176 Hamilton Ave, Dalview, Brakpan, 1554","Brakpan","Gauteng","","South Africa"," 0761406000","Welcome@ManageMyWebsite.co.za","https://www.managemywebsite.co.za/","","","https://maps.google.com/?hl=en_US&cid=0x0:0xd27556647ad8695f",""
"business","Computer support and services","Dynamic Gee - IT Support and IT Support Tech - Brakpan","20 Viking Rd, Dalpark, Brakpan, 1543","Brakpan","Gauteng","","South Africa"," 0115684399","","http://www.dynamicgee.co.za/","","","https://maps.google.com/?hl=en_US&cid=0x0:0xea650b727a9a6344",""
"business","Business park","Carnival Junction Business Park","15 Beechwood St, Larrendale, Brakpan, 1541","Brakpan","Gauteng","","South Africa","","","","","","https://maps.google.com/?hl=en_US&cid=0x0:0xc10ad8ff59eb1da1",""
"business","Tool manufacturer","Manhattan Corporation","1 Hospital Rd, Brakpan North, Johannesburg, 1541","Johannesburg","Gauteng","","South Africa"," 0117488800","info@manhattancorp.com","https://www.manhattancorp.com/","","","https://maps.google.com/?hl=en_US&cid=0x0:0x8fd71d1cde16e03b",""
"business","business","N/A","","","Gauteng","","South Africa"," 0100256756","","http://www.risimiconsulting.co.za/","","","https://maps.google.com/?hl=en_US&cid=0x0:0x47356a2eacfa0e50",""
"business","Engineering consultant","USize Engineering","13 Molecule Rd, Vulcania, Brakpan, 1554","Brakpan","Gauteng","","South Africa"," 0837811128","","http://usize.co.za/","","","https://maps.google.com/?hl=en_US&cid=0x0:0xa7df3f0bd8d902d3",""
"business","Business management consultant","SHEQ Street (Pty) Ltd","ext 2, 42 Waterval Rd, Leachville, Brakpan, 1541","Brakpan","Gauteng","","South Africa"," 0118973238","info@sheqstreet.co.za","https://sheqstreet.co.za/","","","https://maps.google.com/?hl=en_US&cid=0x0:0x7dd2938ea30c3a",""
"business","Steel fabricator","Admo Engineering","150 Hastings Ave, Brakpan, 1541","Brakpan","Gauteng","","South Africa"," 0117402093","admin2@admoeng.co.za","https://admoeng.co.za/","","","https://maps.google.com/?hl=en_US&cid=0x0:0xd33365ee7aa1bb86",""
"business","Corporate office","RMB CONSULTANT","EXT 5, 10890 Zulu St, Tsakane, Brakpan, 1548","Zulu St","Gauteng","10890","South Africa"," 0103350586","","","","","https://maps.google.com/?hl=en_US&cid=0x0:0x917b43f62fc05358",""
"business","Business management consultant","Futuristic Worx","10 Van der Merwe St, Brenthurst, Brakpan, 1541","Brakpan","Gauteng","","South Africa"," 0110386829","","","","","https://maps.google.com/?hl=en_US&cid=0x0:0x6307134a02017469",""
"business","Accountant","Prime PBT","737 Prince George Ave, Brenthurst, Brakpan, 1542","Brakpan","Gauteng","","South Africa"," 0718577811","info@primepbt.co.za","https://www.primepbt.co.za/","","","https://maps.google.com/?hl=en_US&cid=0x0:0xfd7be056fd70e129",""
"business","Fingerprinting service","INTELLIGENCES  INVESTIGATION TRAINING","96 Wordsworth St, Dalpark, Brakpan, 1552","Brakpan","Gauteng","","South Africa"," 0826951544","","","","","https://maps.google.com/?hl=en_US&cid=0x0:0xeba8385c483ed72f",""
"business","Website designer","Oceans I.T Services","28 Essex St, Dalview, Brakpan, 1541","Brakpan","Gauteng","","South Africa"," 0828566050","","http://www.oceans.co.za/","","","https://maps.google.com/?hl=en_US&cid=0x0:0x143698ca16943245",""
"business","Accountant","AT Accounting and Taxation Solutions (Pty) Ltd","16 Eeufees St, Dalview, Brakpan, 1541","Brakpan","Gauteng","","South Africa"," 0117400490","20enquiries@ataccounting.co.za","http://www.ataccounting.co.za/","","","https://maps.google.com/?hl=en_US&cid=0x0:0x37388f2e1ed96c29",""
"business","Training centre","HPS Security Guard  Training Centre","274 Prince George Ave, Brakpan, 1540","Brakpan","Gauteng","","South Africa"," 0118130281","hprotections@gmail.com","https://www.hlopi.net/","","","https://maps.google.com/?hl=en_US&cid=0x0:0x6ce88971c600d7fd",""
"business","Industrial equipment supplier","Brakpan Business Machines cc","543 Prince George Ave, Brakpan, 1540","Brakpan","Gauteng","","South Africa"," 0117402310","","","","","https://maps.google.com/?hl=en_US&cid=0x0:0xa12da6f1295d2937",""
"business","Construction company","JC Construction CC","Unit 18 Carnival Industrial Park 14 Coert Steynberg Street Van Eck Park, EXT 2, Brakpan, 1541","Brakpan","Gauteng","","South Africa"," 0119151202","","http://www.jcconstruction.1sta.com/","","","https://maps.google.com/?hl=en_US&cid=0x0:0x388a196d0fd0146b",""
"business","Manufacturer","Qck Metal Works - Precision Engineering","1 Strauss St, Van Eck Park, Brakpan, 1459","Brakpan","Gauteng","","South Africa"," 0107464927","sales@qckmetalworks.co.za","https://qckmetalworks.co.za/","","","https://maps.google.com/?hl=en_US&cid=0x0:0xa6be3c4752b64fa2",""
